"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",126832.96620194,9284.36448286955,13.6609206193873,1.90673401601444e-42
"end_1",-15862.7359223916,4335.98184783303,-3.65839537135498,0.000253936892894871
"end_2",8001.02006032117,4118.53586051257,1.94268553954642,0.0520571248624378
"end_3",18450.8963526854,4204.18320937713,4.38869940575663,1.14153675248219e-05
"end_4",2.5512220686395,4105.27959373671,0.000621449041505435,0.999504156745511
"end_5",16460.4707371238,4127.20554183622,3.98828470505505,6.66027094068487e-05
"end_6",2665.03069821095,4040.18700522271,0.659630530657589,0.509492561215177
"end_7",16448.5236507635,4045.56993279279,4.06581122660474,4.79043092133446e-05
"end_8",-102.292587004836,3952.08324116835,-0.0258832065932384,0.97935054930072
"area",10426.9519859974,293.06041062898,35.5795310721725,1.9373491626416e-275
"area2",24.0616503856393,1.90403381264771,12.6371970002884,1.4094316821069e-36
"schooldistance",39381.856856517,4142.13168604245,9.50763033179756,1.99400757066122e-21
"clinicdistance",-42203.4545661457,1456.71490161082,-28.9716639264674,9.55711358025524e-184
"postofficedistance",18253.5073357255,3557.04182217082,5.131653842795,2.87773002447482e-07
"kindergartendistance",-16460.0638521743,4368.27874315816,-3.7680891765332,0.000164601578794279
"restaurantdistance",-221167.668699014,4360.24325010926,-50.7236995765023,0
"collegedistance",-8911.06209176062,1022.01273287013,-8.71913020763997,2.84768959524668e-18
"pharmacydistance",125811.462564005,4935.16021317164,25.4928831344162,7.19831597781545e-143
"hasparkingspace",12949.0142987695,2172.28417625118,5.96101303887241,2.51562470983495e-09
"hasbalcony",5197.28217076211,2036.69157464185,2.55182583139818,0.0107175638238657
"haselevator",159942.081553253,2145.08822709082,74.5620061372336,0
"hassecurity",45867.3827232551,3033.32906547658,15.1211364587141,1.35020618847927e-51
"hasstorageroom",-33029.3690345815,2095.87246176731,-15.7592456779216,6.99026567599796e-56
"factor(month)2",18456.8441280416,3452.00659407631,5.34670013658544,8.97790294172396e-08
"factor(month)3",30257.4125951488,3404.22661754017,8.88818988702118,6.31700141830941e-19
"factor(month)4",40857.7836885836,3324.5851635208,12.2895885287879,1.0950484807608e-34
"factor(month)5",51789.7273873119,3287.95422300787,15.7513529309219,7.91723243818211e-56
"factor(month)6",57815.5945940828,3245.19570196538,17.8157497740639,6.96664521758992e-71
"factor(type)apartmentBuilding",126800.318151136,4179.00336892458,30.3422387964638,2.95277504072858e-201
"factor(type)blockOfFlats",-49504.9109772193,2665.35036766905,-18.5735097260452,7.21582602743277e-77
"factor(type)tenement",6375.20337948765,4054.97909897369,1.57219142784267,0.115909504018915
"factor(rooms)2",-2019.88623941121,4774.31120042485,-0.423073853927132,0.672242338727491
"factor(rooms)3",-24727.7854847572,5943.75106671154,-4.1602996503752,3.18110272469745e-05
"factor(rooms)4",-36102.2226944585,7056.34801382483,-5.11627581629008,3.12233956667258e-07
"factor(rooms)5",-113240.138791681,9320.20757080636,-12.1499588857208,6.0837130804208e-34
"factor(rooms)6",-106984.835744286,13917.2140458929,-7.68723074830184,1.51792869615239e-14
"factor(ownership)cooperative",-29088.7554896013,3283.94782511439,-8.8578616466259,8.29338114574454e-19
"factor(ownership)udziaÃÂ",-68722.2777857684,100893.283889735,-0.681138279341508,0.495785663291644
"factor(buildingmaterial)brick",-44074.0613005478,2915.39480776108,-15.1176990448148,1.42237598057075e-51
"factor(buildingmaterial)concreteSlab",-111552.781185974,3140.35092152671,-35.5223935074559,1.44031038003783e-274
